VDBName,SchemaName,Name,TABLE_TYPE,Description,TYPE_CAT,TYPE_SCHEM,TYPE_NAME,SELF_REFERENCING_COL_NAME,REF_GENERATION,IsPhysical
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_REAGENT,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_RUN_BREIDGE_PLUG,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_RUN_PULL_INSTRUMENT,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_RUN_PULL_PACKERS,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_RUN_PULL_PUMPING_ROD,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_RUN_PULL_STRING,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_SAND_BAILING,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_SAND_FILLING,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_SCRAPE,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_SET_PLIG,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_SQUEEZE_ISOTOPES,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_STAGE,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_STAGE_PUMP_INJECT,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_STRING_LIST,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_STRING_PARA,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_SUPE_DATA,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_TANK_LIQU_LEVEL,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_TEST_COST,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_TEST_DAILY,TABLE,null,null,null,null,null,null,true
